device_id,persona,home_lat,home_lon,nearest_store_id,nearest_store_name,distance_to_nearest_store_m,catchment_ring,dist_to_STR001_m,dist_to_STR002_m,dist_to_STR003_m,catchment_overlap_count,overlapping_stores,visited_any_store
01537933-5757-478d-9f81-068c4c949d29,Shopper,21.168711,79.105315,STR002,Store B - Civil Lines,2809.0,1-3km,3349.6,2809.0,8970.1,1,STR002,True
0268e1fe-2e79-46f9-8197-b5fb5ee59d3b,Commuter,21.159996,79.072998,STR001,Store A - Sitabuldi,1327.6,1-3km,1327.6,1529.5,6806.1,2,"STR001,STR002",False
0269f515-238d-4f6d-a694-a005226796b5,Resident,21.160002,79.07302,STR001,Store A - Sitabuldi,1327.0,1-3km,1327.0,1528.1,6807.2,2,"STR001,STR002",False
02d3ed90-17e2-4d87-90f8-20cdac76b047,Commuter,21.159992,79.073013,STR001,Store A - Sitabuldi,1326.4,1-3km,1326.4,1528.0,6806.0,2,"STR001,STR002",False
030381e2-f47e-41a4-8127-3c2c50256200,Shopper,21.159995,79.073004,STR001,Store A - Sitabuldi,1327.2,1-3km,1327.2,1529.0,6806.1,2,"STR001,STR002",True
03b80b11-f868-4aaa-9be3-a7b96e9c39ad,Shopper,21.139395,79.064003,STR001,Store A - Sitabuldi,2035.4,1-3km,2035.4,2589.6,4400.2,2,"STR001,STR002",True
03ce7c3f-0660-467b-894c-ac7eb8d72864,Commuter,21.16869,79.105291,STR002,Store B - Civil Lines,2805.6,1-3km,3346.2,2805.6,8966.8,1,STR002,False
03fee6b1-54ca-49ae-ba97-ea8b99e3976e,Resident,21.160024,79.072975,STR001,Store A - Sitabuldi,1331.6,1-3km,1331.6,1533.3,6808.7,2,"STR001,STR002",False
0578ee84-f506-49d5-86b2-f1896d2fa651,Commuter,21.139362,79.064003,STR001,Store A - Sitabuldi,2037.5,1-3km,2037.5,2591.6,4396.5,2,"STR001,STR002",False
06ad23b7-08bb-4d96-8bd0-c439c583979f,Commuter,21.139405,79.064005,STR001,Store A - Sitabuldi,2034.7,1-3km,2034.7,2588.9,4401.2,2,"STR001,STR002",False
0728ab49-f3be-466a-9829-c7b378dd5101,Resident,21.139386,79.063983,STR001,Store A - Sitabuldi,2037.6,1-3km,2037.6,2591.9,4399.0,2,"STR001,STR002",False
082aaa30-5340-4b2f-bdaa-6193dac3ee1d,Commuter,21.160021,79.072994,STR001,Store A - Sitabuldi,1330.3,1-3km,1330.3,1531.6,6808.8,2,"STR001,STR002",False
095a4b88-5a02-48bb-b89e-cfe74265e667,Resident,21.168711,79.105303,STR002,Store B - Civil Lines,2808.1,1-3km,3348.7,2808.1,8969.5,1,STR002,False
0a4c77aa-b23e-45c3-9ec4-fd5aac171a74,Resident,21.168727,79.105285,STR002,Store B - Civil Lines,2807.9,1-3km,3348.3,2807.9,8970.0,1,STR002,False
0a51f2c8-74ff-47fc-97e2-3abcabd81e66,Resident,21.168715,79.105284,STR002,Store B - Civil Lines,2806.9,1-3km,3347.4,2806.9,8968.8,1,STR002,False
0a91a99a-66be-479b-888f-746899b7e472,Commuter,21.168713,79.105295,STR002,Store B - Civil Lines,2807.6,1-3km,3348.2,2807.6,8969.2,1,STR002,False
0b2d6c5e-5e8f-4e62-a953-3a93d6cebd5b,Commuter,21.139382,79.063997,STR001,Store A - Sitabuldi,2036.7,1-3km,2036.7,2590.9,4398.7,2,"STR001,STR002",False
0bb01a69-eb37-48a0-817c-eb78e89cc34f,Commuter,21.168716,79.105304,STR002,Store B - Civil Lines,2808.5,1-3km,3349.1,2808.5,8970.0,1,STR002,False
0bda8892-a71a-493b-b690-475c5dd41603,Shopper,21.160004,79.073009,STR001,Store A - Sitabuldi,1327.8,1-3km,1327.8,1529.2,6807.2,2,"STR001,STR002",True
0bdb9c74-a893-4da0-b6f7-f40642761263,Commuter,21.160006,79.07299,STR001,Store A - Sitabuldi,1329.0,1-3km,1329.0,1530.8,6807.0,2,"STR001,STR002",False
0c2f61c7-22c1-48bf-b8be-bb94df688040,Resident,21.168689,79.105321,STR002,Store B - Civil Lines,2807.9,1-3km,3348.6,2807.9,8968.4,1,STR002,False
0d299efd-08e3-4122-a05f-eca4db791911,Commuter,21.160011,79.073003,STR001,Store A - Sitabuldi,1328.7,1-3km,1328.7,1530.1,6807.8,2,"STR001,STR002",False
0dedf664-7ee4-4bec-9b40-6698aea84394,Commuter,21.139407,79.06401,STR001,Store A - Sitabuldi,2034.1,1-3km,2034.1,2588.4,4401.5,2,"STR001,STR002",False
0e3fffb5-fb51-4a80-a611-8592c96e801d,Resident,21.168723,79.10531,STR002,Store B - Civil Lines,2809.5,1-3km,3350.0,2809.5,8971.0,1,STR002,False
0e410253-10dd-41d6-9215-2644ef0ad210,Commuter,21.159968,79.072991,STR001,Store A - Sitabuldi,1325.5,1-3km,1325.5,1528.4,6802.9,2,"STR001,STR002",False
0fb5a59b-38a1-41f0-a674-440873e41cf4,Shopper,21.168701,79.105283,STR002,Store B - Civil Lines,2805.8,1-3km,3346.3,2805.8,8967.4,1,STR002,True
114e6490-d2cc-447c-999c-a47c51137e56,Shopper,21.16,79.072997,STR001,Store A - Sitabuldi,1328.1,1-3km,1328.1,1529.9,6806.6,2,"STR001,STR002",True
131d5c1b-c5f0-4a8c-a19a-f70c67d79d5a,Resident,21.16003,79.072991,STR001,Store A - Sitabuldi,1331.2,1-3km,1331.2,1532.3,6809.7,2,"STR001,STR002",False
15d332a0-4b4f-46cf-a0fb-b5f8b538b0ce,Commuter,21.139415,79.064014,STR001,Store A - Sitabuldi,2033.2,1-3km,2033.2,2587.5,4402.4,2,"STR001,STR002",False
16237853-3885-4120-b1d6-d9e961c226d4,Commuter,21.159993,79.073001,STR001,Store A - Sitabuldi,1327.2,1-3km,1327.2,1529.2,6805.8,2,"STR001,STR002",False
17f9475a-bf2a-4362-90d0-80cc6efde484,Commuter,21.168715,79.105306,STR002,Store B - Civil Lines,2808.7,1-3km,3349.2,2808.7,8970.1,1,STR002,False
19230404-a317-4f62-88a8-5e33a9e44638,Resident,21.139393,79.064021,STR001,Store A - Sitabuldi,2034.0,1-3km,2034.0,2588.2,4400.1,2,"STR001,STR002",False
196204fe-2b0e-4567-8dcb-0754d3739b3c,Resident,21.139423,79.064008,STR001,Store A - Sitabuldi,2033.2,1-3km,2033.2,2587.5,4403.3,2,"STR001,STR002",False
198016c6-5a79-4ac8-a07f-3f4c2cf8b84f,Resident,21.139376,79.064,STR001,Store A - Sitabuldi,2036.9,1-3km,2036.9,2591.0,4398.1,2,"STR001,STR002",False
1a14a0a9-bf73-4327-9f62-6bcf3e464dd3,Shopper,21.160007,79.073004,STR001,Store A - Sitabuldi,1328.3,1-3km,1328.3,1529.8,6807.4,2,"STR001,STR002",True
1a14f373-a8a4-4a4c-bad8-01a4cdfb7019,Resident,21.159991,79.073002,STR001,Store A - Sitabuldi,1327.0,1-3km,1327.0,1528.9,6805.6,2,"STR001,STR002",False
