store_id,store_name,catchment_ring,homes_in_ring
STR001,Store A - Sitabuldi,0-1km (Core),0
STR001,Store A - Sitabuldi,1-3km (Primary),338
STR001,Store A - Sitabuldi,3-5km (Extended),162
STR001,Store A - Sitabuldi,5km+ (Out of Range),0
STR002,Store B - Civil Lines,0-1km (Core),0
STR002,Store B - Civil Lines,1-3km (Primary),500
STR002,Store B - Civil Lines,3-5km (Extended),0
STR002,Store B - Civil Lines,5km+ (Out of Range),0
STR003,Store C - Wardha Road,0-1km (Core),0
STR003,Store C - Wardha Road,1-3km (Primary),0
STR003,Store C - Wardha Road,3-5km (Extended),176
STR003,Store C - Wardha Road,5km+ (Out of Range),324
